Filename	True Label	Prediction
1023_0001418	3.0	3.0
1023_0001419	3.0	3.0
1023_0001423	2.0	2.0
1023_0001575	3.0	3.0
1023_0101675	3.0	3.0
1023_0101684	2.0	2.0
1023_0101688	3.0	3.0
1023_0101694	3.0	3.0
1023_0101843	3.0	3.0
1023_0101844	2.0	3.0
1023_0101845	3.0	3.0
1023_0101856	2.0	3.0
1023_0101897	2.0	3.0
1023_0102118	3.0	3.0
1023_0103822	2.0	2.0
1023_0103826	3.0	3.0
1023_0103829	2.0	3.0
1023_0103833	4.0	3.0
1023_0103834	3.0	3.0
1023_0103836	3.0	3.0
1023_0103844	4.0	3.0
1023_0103883	3.0	3.0
1023_0107244	3.0	3.0
1023_0107726	3.0	3.0
1023_0108306	3.0	3.0
1023_0108648	3.0	3.0
1023_0108766	2.0	3.0
1023_0108886	3.0	3.0
1023_0108888	3.0	3.0
1023_0108993	3.0	3.0
1023_0109022	3.0	3.0
1023_0109395	2.0	3.0
1023_0109396	2.0	3.0
1023_0109402	2.0	3.0
1023_0109505	3.0	3.0
1023_0109518	2.0	2.0
1023_0109524	3.0	3.0
1023_0109528	3.0	3.0
1023_0109590	2.0	3.0
1023_0109606	3.0	3.0
1023_0109880	3.0	3.0
1023_0109945	3.0	3.0
1031_0001951	2.0	3.0
1031_0001997	3.0	3.0
1031_0002006	4.0	3.0
1031_0002036	4.0	3.0
1031_0002061	3.0	3.0
1031_0002086	3.0	3.0
1031_0002187	3.0	3.0
1031_0002196	3.0	3.0
1031_0002198	3.0	3.0
1031_0003053	3.0	3.0
1031_0003085	3.0	3.0
1031_0003095	3.0	3.0
1031_0003121	3.0	3.0
1031_0003132	3.0	3.0
1031_0003133	4.0	3.0
1031_0003140	3.0	3.0
1031_0003141	3.0	3.0
1031_0003146	4.0	3.0
1031_0003160	3.0	3.0
1031_0003166	2.0	3.0
1031_0003180	4.0	3.0
1031_0003191	3.0	3.0
1031_0003216	3.0	3.0
1031_0003217	4.0	3.0
1031_0003220	3.0	3.0
1031_0003224	3.0	3.0
1031_0003234	3.0	3.0
1031_0003236	3.0	3.0
1031_0003239	4.0	3.0
1031_0003240	2.0	3.0
1031_0003242	3.0	3.0
1031_0003249	3.0	3.0
1031_0003261	3.0	3.0
1031_0003331	3.0	3.0
1031_0003336	3.0	3.0
1031_0003355	3.0	3.0
1031_0003365	3.0	3.0
1031_0003368	3.0	3.0
1031_0003386	2.0	3.0
1031_0003389	3.0	3.0
1031_0003407	3.0	3.0
1061_0120282	0.0	1.0
1061_0120286	1.0	1.0
1061_0120295	0.0	2.0
1061_0120297	2.0	2.0
1061_0120298	2.0	2.0
1061_0120302	1.0	2.0
1061_0120311	3.0	2.0
1061_0120314	2.0	2.0
1061_0120318	2.0	2.0
1061_0120324	2.0	2.0
1061_0120328	1.0	1.0
1061_0120329	2.0	2.0
1061_0120371	3.0	3.0
1061_0120373	2.0	2.0
1061_0120375	2.0	1.0
1061_0120391	1.0	1.0
1061_0120403	3.0	2.0
1061_0120404	1.0	1.0
1061_0120430	2.0	2.0
1061_0120439	1.0	1.0
1061_0120460	2.0	2.0
1061_0120481	3.0	3.0
1061_0120482	2.0	2.0
1061_0120484	2.0	2.0
1061_0120491	2.0	2.0
1061_0120853	2.0	2.0
1061_0120855	1.0	2.0
1061_0120857	2.0	2.0
1061_0120881	2.0	3.0
1061_0120885	2.0	2.0
1061_1029119	1.0	2.0
1061_1202910	2.0	2.0
1061_1202911	1.0	2.0
1061_1202913	2.0	1.0
1071_0024680	2.0	2.0
1071_0024682	2.0	2.0
1071_0024686	2.0	2.0
1071_0024688	1.0	1.0
1071_0024690	1.0	2.0
1071_0024693	1.0	1.0
1071_0024694	1.0	2.0
1071_0024704	1.0	1.0
1071_0024705	1.0	2.0
1071_0024712	1.0	1.0
1071_0024714	2.0	2.0
1071_0024756	1.0	1.0
1071_0024765	0.0	1.0
1071_0024770	1.0	1.0
1071_0024779	1.0	1.0
1071_0024801	1.0	1.0
1071_0024813	0.0	1.0
1071_0024815	0.0	1.0
1071_0024825	1.0	1.0
1071_0024831	0.0	1.0
1071_0024840	1.0	1.0
1071_0024855	1.0	1.0
1071_0024856	1.0	1.0
1071_0024859	1.0	1.0
1071_0024874	1.0	1.0
1071_0024876	1.0	1.0
1071_0242022	0.0	1.0
1071_0242073	1.0	1.0
1071_0243581	1.0	1.0
1071_0248310	1.0	1.0
1071_0248317	0.0	0.0
1071_0248327	0.0	1.0
1071_0248329	1.0	1.0
1071_0248338	1.0	1.0
1071_0248347	1.0	0.0
1071_0248350	1.0	0.0
1091_0000001	1.0	2.0
1091_0000002	2.0	2.0
1091_0000009	0.0	1.0
1091_0000015	1.0	2.0
1091_0000016	0.0	1.0
1091_0000017	2.0	2.0
1091_0000019	1.0	2.0
1091_0000020	1.0	2.0
1091_0000021	2.0	2.0
1091_0000023	1.0	1.0
